FACID,FNAME,302_CONTACT,302_PHONE,PRIMARY_CONTACT,PRIMARY_CONTACT_PHONE,PRIMARY_CONTACT_24HR,SECONDARY_CONTACT,SECONDARY_CONTACT_PHONE,SECONDARY_CONTACT_24HR
35154,Ferrellgas,Matt Burrow,214-543-9369,Matt Burrow,888-494-2762,214-543-9369,Greg Howard,888-494-2762,515-494-5111
35161,CHS Nutrition,Gary Perowitz,320-287-3109,Trevor Odvody,402-371-2040,605-281-9166,Bryson Granstra,402-371-2040,402-940-2400
35162,Flexmag Industries Inc,William Greenough,402-371-6100,Daniel M Preusker,402-649-3561,402-371-6100,William Greenough,402-649-3561,402-371-6100
35163,Hiland-Roberts Ice Cream Co,Jeremy Hanson,402-371-3660,Doug Hicks,402-371-3660,417-328-8858,Pat Tyler,402-371-3660,402-841-5886
35165,Associated Wholesale Grocers,Victor L Moskalski,402-987-8251,Victor L Moskalski,402-371-0555,402-987-8251,Dave Kalin,402-371-0555,402-640-9377
35167,Henningsen Foods Inc,Raymond Morse,402-630-9609,Greg Heine,402-371-1150,402-560-0497,Raymond Morse,402-371-1150,402-630-9609
35168,Norfolk Daily News,,,Jamie D Bates,402-371-1020,402-841-8807,Debbie Warneke,402-371-1020,402-841-2367
35226,Chesterman Coca-Cola,Clinton Shown,605-630-6792,Clinton Shown,402-738-3001,605-630-6792,Jerry Theis,402-844-3749,712-203-0403
35228,Colonial Research Chemical,Troy Sullivan,402-379-0100,Nick Sullivan,402-379-0100,402-649-7581,Lisa Fritz,402-379-0100,402-841-1412
35333,Meisinger Oil Inc,,,Greg D Thelan,402-371-2525,402-841-8191,Jared Baumann,402-371-2525,402-841-1872
35338,Norfolk Aviation,Justin S Martin,402-841-5130,Justin S Martin,402-371-7210,402-841-5130,Ross McKenzie,,402-992-0796
35539,Ferrellgas,Matt Burrow,214-543-9369,Matt Burrow,888-494-2762,214-543-9369,Greg Howard,888-494-2762,515-494-5111
35548,Nucor Corporation,Will Kersten,402-644-8500,Chris Lindahl,402-644-8500,712-260-1903,Dustin R Anderson,402-644-8600,402-841-6097
35648,Agrex Inc,Tim J Brabec,402-860-5708,Tim J Brabec,402-454-3366,402-860-5708,Chris Wetzell,,612-718-5589
35668,Norfolk Terminal,Bill Turner,316-200-9100,Jay Weaver,712-330-1742,800-759-0033,Mike Osweiler,402-649-0983,800-759-0033
35677,Nucor Steel,April Vandenberg,402-649-2275,April Vandenberg,402-644-0354,402-649-2275,Eric Retzlaff,402-644-0259,402-992-9350
35710,CenturyLink,Payton Michael,720-239-3774,UniCall,,866-864-2255,CenturyLink Work Center,,800-201-7033
35781,NDOT Norfolk Yard,Dean Guenther,402-380-4343,Chris Tuttle,402-370-3477,402-750-2991,Dean Guenther,402-370-3477,402-380-4343
36084,Battle Creek Farmers Co-op,Dawn Pochop,402-675-2375,Kirt Aase,402-447-6292,402-699-5516,Gary Nelson,402-447-6292,402-649-5074
36105,Battle Creek South Plant,Rodger Haselhorst,402-360-4270,Rodger Haselhorst,402-347-5044,402-360-4270,Anthony Vogel,402-347-6049,402-841-2760
36107,Tyson Fresh Meats Inc,Maribel Ayala,402-750-2851,Dustin Johnson,402-454-4222,402-615-4746,Maribel Ayala,402-454-4223,402-750-2851
36143,Faith Regional East Campus,Mark A Sears,402-644-7655,Tim Widhalm,402-644-7604,402-640-9957,Mark A Sears,402-644-7655,
36183,Faith Regional West Campus,Mark A Sears,402-992-7684,Tim Widhalm,402-644-7604,402-640-9957,Mark A Sears,402-644-7655,402-992-7684
36277,Aurora Co-op Elevator Company,James Holliday,402-694-7713,James Dinville,308-946-3064,402-410-1057,Brandon Hammer,,308-940-0370
36295,Frontier Cooperative,,,Tyler Fix,,308-622-1048,,,
36301,Bunge USA Grain LLC,Brieanne Davenport,402-889-4126,Ashton Williams,308-833-7231,531-284-2199,Matt Jarzynka,308-833-7233,
36346,Frontier Cooperative,,,Tyler Fix,,308-622-1048,,,
36357,Town Mart Convenience Store,,,Tyler Fix,,330-622-1048,,,
36394,NDOT Central City Yard,Martin Rodriguez,308-380-2661,Martin Rodriguez,308-946-2911,308-380-2661,Rich McKenney,308-728-3761,308-750-2340
36494,Bridgeport Ampride,Skip Kelley,308-630-5231,Jason Rupp,308-630-5317,308-631-3807,Skip Kelley,308-632-5301,308-630-5231
36497,Legacy Coop,Aaron Stegman,308-778-6851,Aaron Stegman,,308-778-6851,Skip Kelley,308-632-5301,308-883-0247
36548,Panhandle Co-op Assn Fert/Bulk,Aaron Stegman,308-778-6851,Aaron Stegman,,308-778-6851,Skip Kelley,308-632-5301,308-630-5231
36558,Lapaseotes Feedlot Broadwater,Ronald Leal,308-254-7003,Robert C Hughes,308-377-2515,308-279-0480,Marty Dalimata,308-377-2515,308-262-5046
36594,Frontier Cooperative,,,Brandon Welch,,308-550-1964,,,
36655,NDOT Fullerton Yard,Charles Stanczyk,308-550-0328,Charles Stanczyk,308-536-2375,308-550-0328,Ben Merchant,308-385-6265,308-379-5129
36679,Central Valley Ag,Tyler Kolar,800-535-5053,Tyler Kolar,308-379-3945,800-535-5053,James Cook,308-536-2424,800-535-5053
36750,NPPD Cooper Nuclear Station,Shift Supervisor Control Room,402-825-5271,Shift Supervisor Control Room,,402-825-5271,Shift Supervisor Control Room,,402-825-5271
36751,Magnolia Metal Corp,Michael P Koslosky,402-873-6227,Michael P Koslosky,402-274-3152,402-873-6227,Scott Reid,402-274-3152,402-274-5192
36752,FAST Global Solutions Inc,Timothy W Becker,402-414-1931,Timothy W Becker,402-274-8626,402-414-1931,Ken Hastings,402-274-8606,402-580-3413
36765,Auburn Municipal Airport,Kendall R Neiman,402-274-8386,Kendall R Neiman,402-274-8386,,,,
36784,Frontier Cooperative,,,Jay Fischer,402-274-4417,402-274-3509,Dave Reese,,402-209-0855
36791,Ferrellgas,Matt Burrow,214-543-9369,Matt Burrow,888-494-2762,214-543-9369,Greg Howard,888-494-2762,515-494-5111
36821,Southeast Ready Mixed,Jeremy Davis,402-873-6652,James Hamlette,402-434-1862,402-432-9560,,,
36953,NDOT Auburn Yard,Robert Rankin,402-416-0598,Robert Rankin,402-471-0850,402-416-0598,Trent Glathar,,402-274-8575
37007,Holcim US Inc,Logan Crockett,402-984-3200,Logan Crockett,402-879-3267,402-984-3200,Brad Bargen,402-879-3267,402-469-4335
37013,Nutrien Ag Solutions,Ross Porter,402-879-5625,Ross Porter,402-879-4749,402-879-5625,Eric Seamann,402-879-4749,308-216-0426
37022,Cooperative Producers Inc,Phil Mazour,402-469-0335,Phil Mazour,402-756-7153,402-469-0335,Kevin Kalsbeck,308-537-7141,308-440-0903
37041,C & M Supply Inc,Luke E Kleen,402-469-0089,Luke E Kleen,402-226-2261,402-469-0089,Michael G Stichka,402-226-2721,402-621-0210
37050,Blackstone Aerial Spraying LLC,Lucas A Meyers,402-879-5852,Lucas A Meyers,402-879-3006,402-879-5852,Barry V Blackstone,402-879-3006,402-879-5262
37109,C & M Supply Inc,Luke E Kleen,402-469-0089,Luke E Kleen,402-226-2261,402-469-0089,Michael G Stichka,402-226-2261,402-621-0210
37110,Cooperative Producers Inc,Darin Barnes,402-226-2571,Brian Pahl,402-226-2571,402-226-3971,Larry Dygert,402-463-5148,402-705-0617
37168,Cooperative Producers Inc,Shelby Pahl,402-744-0824,Brian Pahl,402-744-0720,402-226-3971,Larry Dygert,402-463-5148,402-705-0617
37196,Jensby Livestock Trucking Inc,Gayle Eitzmann,402-879-5462,Gayle Eitzmann,,402-879-5462,Kelly Eitzmann,,402-879-8483
37199,Aurora Co-op Elevator Company,James Holliday,402-694-7713,Dallas Doupnik,402-768-1803,402-705-2950,Marc Caldwell,402-279-3515,402-879-5493
37239,NDOT Superior Yard,Steven D Clyde,402-469-2711,Steven D Clyde,402-879-4016,402-469-2711,Ben Merchant,308-385-6265,308-390-0172
37287,Concrete Industries Inc,Jeremy Davis,402-873-6652,James Hamlette,402-434-1862,402-432-9560,,,
37292,Frontier Cooperative,Cody Hull,402-417-8506,Ben Bishop,402-848-2381,402-432-9332,Matt Wilson,402-481-2305,402-417-8506
37299,Elster American Meter Company,Oluwafisayo C Folorunso,402-209-7753,Oluwafisayo C Folorunso,,402-209-7753,Gregory Lant,,402-259-6558
37306,Frontier Cooperative,,,Matt Wilson,402-481-2305,402-417-8506,Bill Moates,,402-875-1048
37344,Bunge USA Grain LLC,Jesse Prochaska,531-800-2609,Jesse Prochaska,402-874-7000,531-800-2609,Derek Brown,402-874-7000,712-880-2465
37429,Frontier Cooperative,,,Bill Moates,,402-875-1048,Troy Pribnow,,402-450-9546
37465,Frontier Cooperative,,,Matt Wilson,402-481-2305,402-417-8506,Matt Wilson,402-481-2305,402-417-8506
37472,Farmers Cooperative Company,Diane Saale,402-264-4785,Diane Saale,402-264-3385,402-264-4785,Mike Gerdes,402-264-3385,402-264-4845
37514,Northern Natural Gas Company,Joshua Hipsher,402-983-1556,NNG Operations Communication,,888-689-5175,Joshua Hipsher,402-983-1556,
37627,Frontier Cooperative,,,Bill Moates,,402-780-5820,Dave Reese,,402-209-0855
37636,OPPD Syracuse Service Center,Kurt Teten,531-226-4014,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
37669,NGPL Compressor Station 196,Phil Doyle,331-213-4213,Loren Mootz,402-223-2350,800-733-2490,Matt Vanlaningham,402-223-2350,402-223-3669
37747,Ferrellgas,Matt Burrow,214-543-9369,Matt Burrow,888-494-2762,214-543-9369,Greg Howard,888-494-2762,515-494-5111
37756,Farmers Cooperative,,,Jeff Wehrbein,402-865-4595,402-914-0083,Dan Schmitz,402-865-4595,785-268-1277
37759,Friedly Oil LLC,,,Cody Friedly,402-859-4449,308-325-3685,Josie A Friedly,402-859-4449,402-801-0129
37788,Farmers Cooperative,,,Dean McHenry,402-223-2124,402-865-5965,Jeff Wehrbein,402-865-4595,402-914-0083
37793,C J Foods Inc,Mark Hulsebus,402-852-6857,Mark Hulsebus,402-852-2341,402-852-6857,Travis Kendall,402-852-2341,620-757-6208
37833,NDOT Pawnee City Yard,Robert Rankin,402-416-0598,David Klepper,402-852-2279,402-852-6143,Todd Cecrle,402-471-0850,
37874,Frenchman Valley Farmers Co-op,Michael D Barfield,308-414-1239,Dusty Runner,,308-414-2092,Glenn Williams,,308-352-4295
37918,Hi-Line Co-op Inc,Jeff D Lundvall,308-389-2302,Jim Garner,,308-530-2709,Randy Clouse,308-352-2800,308-289-6515
37927,Hi-Line Co-op Inc,Jeff D Lundvall,308-389-2302,Ken Reed,,308-386-8321,Jim Garner,,308-530-2709
37961,Frenchman Valley Farmers Co-op,Michael D Barfield,308-414-1239,Dusty Runner,,308-414-2092,Glenn Williams,,308-352-4295
37963,Sisco Fertilizer Inc,Terry L Sis,308-289-6294,Cameron L Sis,308-228-2202,308-289-6419,Terry L Sis,308-228-2202,308-289-0694
37993,Aurora Agronomy,James Holliday,402-694-7713,Andy Cantrell,308-352-4233,308-627-1084,Casey Griffin,308-352-4233,308-390-0459
37999,Frenchman Valley Co-op Station,Michael D Barfield,308-414-1239,Ryan Timm,,308-249-4346,Bill Henderson,,308-882-3200
38037,Becton Dickinson Consumer Prod,James Lounsbury,308-870-0592,James Lounsbury,402-461-2216,402-984-3190,John Maessner,,308-870-0592
38038,Briggs & Stratton LLC,Phillip R Cook,308-991-6404,Phillip R Cook,308-995-3440,308-991-6404,Roy Fanning,308-995-4495,870-897-8050
38039,Nutrien Ag Solutions,Russell H Rickert,806-240-0694,Russell H Rickert,308-995-6114,806-240-0694,Rhett Snyder,308-995-6114,402-269-5929
38043,CHS Inc,Gary Perowitz,320-287-3109,John Ptacnik,,308-991-9064,Thomas Vacura,308-995-8626,308-655-1745
38048,Cooperative Producers Inc,Roper Scoville,308-708-1128,Roper Scoville,308-263-2441,308-708-1128,,,
38054,CHS Inc,Gary Perowitz,320-287-3109,Jeff Ernstmeyer,308-995-8626,308-991-3180,John Ptacnik,,308-991-9064
38191,Earth Science Laboratories Inc,Brandon Jepsen,832-708-5758,Brandon Jepsen,,832-708-5758,Rajean Johnson,308-995-2271,308-340-4836
38207,Olson Aerial,Ryan Helliegel,308-233-4421,Ryan Helliegel,,308-233-4421,Tye Marquardt,308-995-6573,308-293-2662
38208,Helena Agri-Enterprises LLC,Scott A Kugler,308-991-7679,Scott A Kugler,308-995-4755,308-991-7679,Jared Kugler,308-995-4755,308-999-0733
38273,Titan Machinery Inc,Craig Kopp,701-219-9279,Marcus Dunbar,308-624-2057,308-440-2559,Joanna Bantam,308-624-2057,308-708-9329
38279,Holdrege Station,Crystal Smith,218-576-4709,Eric Marcure,815-570-7551,888-449-7539,Brent Johnson,308-238-8056,888-449-7539
38300,Nebraskaland Aviation Inc,Anthony Marquardt,308-340-5427,Anthony Marquardt,308-995-6573,308-340-5427,Jack Krause,308-995-6573,308-293-4708
38409,N & B Gas Co,Jonathan Haase,800-424-9300,Jonathan Haase,402-582-3328,800-424-9300,Rex Hamilton,402-582-3328,402-851-9781
38420,Osmond Farm Supply Center Inc,Brent V Albers,402-369-4744,Brent V Albers,402-748-3633,402-369-4744,Dan Lieneman,,402-360-3438
38477,Steinkraus Service Station,Eugene Steinkraus,402-841-4340,Eugene Steinkraus,402-582-3722,402-841-4340,Rick Steinkraus,402-841-2349,402-582-3281
38546,Battle Creek Farmers Co-op,Dawn Pochop,402-675-2375,Meril Friedrich,402-748-3929,402-640-4266,Steve Frederick,402-748-3929,402-360-4041
38640,Battle Creek Farmers Co-op,Dawn Pochop,402-675-2375,Dean L Choat,402-582-4600,402-741-2004,Dan Peter,402-582-4600,402-469-8267
38662,Helena Agri-Enterprises LLC,Tom Wingert,402-750-8564,Tom Wingert,402-748-3239,402-750-8564,Kenny Thies,402-748-3121,402-360-4326
38706,Columbus Metals Industries,Ryan Carpenter,402-213-9638,Joe Rosenbaum,402-564-2855,402-206-7931,Josh Franker,712-328-2601,402-320-1846
38713,Mid-American Research Chemical,Jerome Schulz,800-535-5053,Jerome Schulz,402-564-7104,800-535-5053,Roger Herout,402-564-7104,800-535-5053
38716,Miba Ind Bearings US LLC,Jeff Sprunk,402-615-5693,Craig Evans,,402-562-9402,Allen Wichman,,402-562-9411
38718,CAMACO Columbus Manufacturing,Julio Vazquez,402-367-2652,Julio Vazquez,402-563-8853,402-367-2652,Jason Buss,402-564-3211,308-227-8703
38719,BD Medical Systems,Liam Dillon,402-564-3181,Quentin Taylor,402-563-8297,402-920-3496,Armida Alvarado,402-563-8297,
38724,Behlen Mfg Co,Tim W Frasher,402-563-7289,Todd B Connelly,402-563-7202,,Tom Cannon,402-563-7374,
38840,Duo Lift Manufacturing Co Inc,Jim Hellbusch,402-276-1328,Jim Hellbusch,402-564-8023,402-276-1328,David Hellbusch,402-564-8023,402-910-3370
38854,Frontier Cooperative,,,Joe Tworek,402-564-2704,402-276-5687,,,
38874,Gerhold Concrete Co,Concepcion Ortiz,712-252-1807,James Kleinheksel,,402-615-2606,Thomas Silknitter,,402-378-0146
38879,Frontier Cooperative,,,Connor Eisenmenger,402-495-3115,402-649-7295,,,
38907,Kat's Car Wash & Gas,Alan Davis,402-910-8478,Alan Davis,,402-910-8478,Dena Davis,,402-910-1629
39069,Central Valley Ag,Aaron Blake,800-535-5053,Aaron Blake,308-962-4442,800-535-5053,Shari Watts,402-910-6980,800-535-5053
39076,Frontier Cooperative,,,Frank Vetik,402-246-3115,402-405-4150,,,
39087,Central Valley Ag,Brett Schaecher,800-535-5053,Brett Schaecher,402-276-5972,800-535-5053,Kirk Johnson,402-576-3347,800-535-5053
39160,Ferrellgas,Matt Burrow,214-543-9369,Matt Burrow,888-494-2762,214-543-9369,Greg Howard,888-494-2762,515-494-5111
39167,Farmers Co-op Assn,Jeremy Frickes,402-640-9971,Jeremy Frickes,402-428-2305,402-640-9971,Jesse Schumacher,402-428-2305,402-608-0410
39168,Animal Health International,LuAnn Geier,402-515-8919,LuAnn Geier,970-347-3010,402-515-8919,Tina Hein,970-347-3027,402-276-1172
39194,NDOT Columbus Yard,Jeff Heesacker,402-270-7369,Jeff Heesacker,402-564-4126,402-270-7369,Austin Mrsny,402-370-3470,402-750-5224
39223,Frontier Communications,Brian McGuinness,800-590-6605,Brian McGuinness,916-670-8946,800-590-6605,Randy Robertson,945-261-5087,800-590-6605
39285,ADM Corn Processing,Robert L Bauer,402-910-2928,Shift Superintendent,402-564-6353,402-910-2928,Robert L Bauer,402-562-5081,402-910-2928
39293,NDOT Humphrey Yard,Austin Mrsny,402-649-6078,Daniel L McDonald,402-923-1141,402-270-6508,Austin Mrsny,402-370-3470,402-750-5224
39378,Vishay Dale Electronics Inc 04,Trevor Hill,531-326-7175,Trevor Hill,402-564-6304,531-326-7175,Allen Stubbert,,402-910-9298
39498,Hubbard Feeds Inc,Stacey Miller,402-564-0571,Sara Fjell,859-885-9613,570-360-7723,Jimmy Sexton,859-885-9613,
39525,ADM Alliance Nutrition Inc,Darin Sigler,308-325-3289,Darin Sigler,402-564-3155,308-325-3289,John Svoboda,402-564-3155,402-564-3155
39527,Columbus Terminal,Bill Turner,316-200-9100,Jay Weaver,402-564-3332,800-759-0033,Mike Osweiler,402-649-0983,800-759-0033
39582,Klub 81 Inc,Kristofer T Heinen,402-871-6652,Kristofer T Heinen,,402-871-6652,Mindy T Heinen,,402-923-0106
39586,RB's Food Shop,Kristofer T Heinen,402-871-6652,Kristofer T Heinen,,402-871-6652,Mindy Stock,,402-923-0106
39677,Frontier Cooperative,,,Blair Page,,402-764-0787,,,
39694,Harless Oil Company,Randall Harless,402-366-9681,Randall Harless,,402-366-9681,Jean Harless,,402-765-2621
39749,Sapp Bros Petroleum Inc,Randy Benson,402-679-1390,Jeff Johnson,402-564-8268,402-910-2362,Todd Bardsley,402-362-4974,402-710-9687
39756,NDOT Osceola Yard,Ronnie C Carlson,402-383-0829,Eric Swanson,402-631-7611,402-366-0576,Ben Merchant,308-385-6265,308-379-5129
39817,Central Valley Ag,Doug Eisenmenger,800-535-5053,Thad Boden,402-764-2571,800-535-5053,Dave Mooney,402-366-3221,800-535-5053
39851,Central Valley Ag,Doug Eisenmenger,800-535-5053,Brian Norquest,402-765-2201,800-535-5053,Wyatt Fleming,308-482-0101,800-535-5053
39871,Parker Hannifin Corporation,David Sloggett,308-340-3842,Jason Herron,308-344-3231,910-581-1003,Scott Sloggett,308-344-3223,308-340-3842
39873,Paulsen Inc Mc Cook Plant,Carlos Avalos,308-529-2504,Carlos Avalos,308-784-3333,308-529-5470,Jacob T Rush,308-784-3333,308-325-9825
39880,Frenchman Valley Farmers Co-op,Michael D Barfield,308-414-1239,Ryan Timm,,308-249-4346,Bill Henderson,,308-882-3200
39986,NPPD Mc Cook Peaking Unit,Jeff Peterson,308-340-1409,Jeff Peterson,308-345-8553,308-340-1409,Bryce Buhr,308-345-8546,308-340-7902
40172,Koch Trust #1-26,Emily M Hundley-Goff,303-623-4565,Blaine Johnson,,402-902-9371,William T Goff,303-623-4565,303-249-0430
40242,BNSF Railway Company,Robert Schroeder,531-530-9984,Mike Paz,308-345-5972,800-832-5452,Andy Encinger,402-461-9036,800-832-5452
40292,Ag Valley Co-op Non Stock,Shawn Erickson,308-995-7605,Randy Nelsen,308-532-3350,308-785-7303,Shawn Erickson,308-927-3681,308-995-7605
40306,Decatur Co-op Association,Kurt Anderson,785-470-7012,Roger McKain,308-895-2343,785-475-4045,Kurt Anderson,785-475-2234,785-470-7012
40319,Mc Cook Community Hospital,Matt Murdock,208-240-3336,Matt Murdock,308-344-8362,208-240-3336,Matt Sailors,308-344-8511,308-737-7789
40341,Magellan Pipeline Company LP,Tristan Grover,515-971-1560,Nick Armijo,316-323-5674,800-720-2417,Doug Rice,816-809-7316,800-720-2417
40447,Southeast Ready Mixed,Jeremy Davis,402-873-6652,James Hamlette,402-434-1862,402-432-9560,,,
40493,Bartlett Grain Company LP,Simon Buckner,816-714-3514,Travis Smith,402-883-2434,712-216-3389,Becky Stanley,402-883-2434,402-304-8955
40506,Helena Agri-Enterprises LLC,Benjamin A Scholl,402-245-7212,Benjamin A Scholl,402-245-3435,402-245-7212,Joseph Bauman,402-245-3435,402-801-0873
40521,Ag Partners Cooperative Inc,Curtis Stahel,785-336-6153,Dan Simpson,785-742-2196,785-741-0153,Sam Cockerham,,785-741-4811
40565,Falls City Power Plant,Dave Aitken,402-245-3521,Trevor Campbell,402-245-2851,402-801-0780,Dave Aitken,402-245-4850,402-245-3521
40567,Falls City Potable Water,Dave Aitken,402-245-3521,Trevor Campbell,402-245-2851,402-801-0780,Dave Aitken,402-245-4850,402-245-3521
40639,NDOT Falls City Yard,Robert Rankin,402-416-0598,Terry A Cummins,402-245-2527,402-274-8562,,,
40737,Rock County Agronomy Services,Luke Vogel,402-340-5733,Clay Fischer,402-684-2311,402-760-0883,Cody Croghan,402-684-2311,402-822-0565
40818,Bunge Milling Inc,Jon M Harrington,402-826-8023,Eric Woodrow,402-826-8030,217-799-1439,Chuck Hoesche,402-826-8021,402-239-6086
40819,Smithfield Fresh Meats Corp,Amy Marks,402-405-3028,Amy Marks,402-826-8847,402-405-3028,Steve Baumgartner,402-826-8884,402-889-0838
40853,Crete Ready Mix Co,Travis Neeman,402-826-6461,Paul Kostal,402-238-5470,402-239-6269,,,
40910,Farmers Cooperative,Jamie Sand,402-520-0230,Jerod Francis,402-946-2211,402-917-4198,Chris Walbrecht,402-946-2211,402-366-5707
41000,Malco Products Inc,Christopher Strand,320-274-8246,Christopher Strand,320-274-8246,,Craig Wollenberg,,402-239-8698
41122,Farmers Cooperative,,,Austin Nicholson,402-448-2040,402-641-2353,Jared Deke,402-448-2040,402-230-0889
41166,Nestle Purina PetCare Company,Dan Neil,402-826-8735,Eric Schindler,,402-826-8773,John Hecht,402-826-8941,402-332-8204
41206,NDOT Dorchester Yard,Mark S Bors,402-641-3438,Mark S Bors,402-450-3234,402-641-3438,,,
41253,Darling Ingredients Inc,William Holmes,972-541-7120,Brynn Husk,402-487-0827,531-262-1463,Erik Sprague,402-258-6505,808-372-0433
41261,Cox Communications Omaha LLC,Brandy Brickey,760-612-4588,Central RSOC,,844-866-6288,Chris Maddox,,402-510-3006
41316,Bouge's Auto Service,Mark L Bouge,402-660-3530,Mark L Bouge,,402-660-3530,Brenda Bouge,402-779-1686,402-660-3530
41652,Vertical Cold Storage LLC,Jake Ross,402-203-8693,Jake Ross,402-339-8855,402-203-8693,Tomasz Gacek,,708-710-1839
41787,Manheim Omaha,Korey Grell,402-598-4436,Korey Grell,402-896-8000,402-598-4436,,,
41936,Papillion Potable Water Trtmnt,Nicholas T Adams,319-329-3914,Nicholas T Adams,402-932-0594,319-329-3914,Chris J Wilson,402-597-2006,712-307-0204
41950,Temperatsure,Taylor Podraza,402-910-4165,Taylor Podraza,531-215-0096,402-910-4165,Jamie Wevley,531-215-0092,402-980-5935
41964,Woolsey,Angie Bowling,303-744-1480,Kurt Nelson,303-744-2034,303-808-8110,Matt Nelson,,303-981-3840
42013,Gretna Gas & Lube,Dylan J Corbino,402-917-6761,Dylan J Corbino,,402-917-6761,Joseph Kreifels,402-332-3315,
42025,AT&T NE0940,EH&S Hotline,800-556-9347,EH&S Hotline,,800-556-9347,Jeremy McGrue,214-464-1712,800-566-9347
42101,Cabelas 017,Dan Hoy,877-827-9500,Matt Wade,402-861-4800,877-827-9500,Dan Hoy,417-873-5251,877-827-9500
42176,Pilot Flying J 686,Joey Cupp,865-474-2826,Joey Cupp,865-474-2826,,Dave Dippel,865-474-2725,865-243-0089
42422,United Rentals Branch G79,Jeffrey Wickham,402-619-3020,Jeffrey Wickham,,402-619-3020,Justin Dillon,,402-971-9124
42447,CSG Systems,Terry Anderson,402-960-1876,Terry Anderson,402-963-8486,402-960-1876,Eric Plautz,,402-499-3426
42546,Sapp Bros Petroleum Inc,Randy Benson,402-679-1390,Randy Benson,402-895-2202,402-679-1390,Carl Nielsen,402-895-2202,402-720-7160
42574,Omni Engineering,Rosa Mendoza,515-414-6577,Kyle Timmer,402-895-6666,507-822-0146,Shawn Cassidy,402-480-9761,507-822-0146
42638,OPPD Sarpy County Station,Wade C Hatzenbuehler,531-226-4510,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
42755,Farmers Union Co-op of Gretna,Joseph Kreifels,402-880-0524,Joseph Kreifels,402-332-3315,402-880-0524,Daryl Post,402-332-3315,402-676-7795
42825,Jiffy Lube 3406,Lillian Nicholson,972-812-7910,,,,Lillian Nicholson,,972-812-7910
42934,CHI Health Midlands,Dennis E Webster,402-593-3212,Dennis E Webster,402-593-3212,,Terry Kjeldaard,402-593-3077,402-686-9990
43012,Great Plains Service Inc,Daniel Chudomelka,402-679-0546,Daniel Chudomelka,402-944-3349,402-679-0546,Marty Martin,402-944-7133,402-679-0549
43034,Frontier Cooperative,,,Jesse Morales,402-665-3101,402-219-3277,,,
43098,Frontier Cooperative Aerial,,,Beau Hartman,402-652-8533,402-615-5166,,,
43115,Midtown Amoco,Tim Otte,402-443-6473,Tim Otte,402-443-3563,402-443-6473,Janet Ahrens,402-443-3185,402-443-8320
43154,Frontier Cooperative,,,Shawn Leckenby,,402-642-5861,,,
43218,NDOT Wahoo Yard,Allan J Jansa,402-443-7017,Allan J Jansa,402-443-3760,402-443-7017,Robert Rakin,402-471-0850,402-416-0598
43254,Musiel Propane Co,David Zakovec,402-620-8939,David Zakovec,402-628-3055,402-620-8939,David Zakovec,402-628-3055,402-628-3825
43396,Insulfoam,Justin Ivy,949-473-8769,Rob Jackson,402-317-1960,402-607-9252,Richard Pendegraft,402-624-6611,402-277-6023
43456,Kroy Building Products Inc,Trinity Foreman,402-363-1209,Trinity Foreman,402-363-6100,402-363-1209,Devin Tweedy,402-908-7400,785-302-1436
43542,Titan Machinery Inc,Mark Guerrero,308-631-3953,Adam Kriha,308-635-3727,308-631-4866,Kelly Adams,308-635-3727,308-631-4867
43547,WESTCO Agronomy,David W Briggs,308-762-3112,David Shields,308-762-3112,308-631-1446,Scott Spreier,308-247-2126,308-631-5748
43551,Winner Circle Feedyard,Ron Koranda,308-631-5392,Ron Koranda,308-783-2131,308-631-5392,Dan Harter,605-840-4462,608-840-4462
43555,CS Precision Manufacturing Inc,Kenny Weineman,308-436-2099,Scott M James,308-436-2099,308-631-8552,Cody A Zentz,308-436-2099,308-765-2873
43562,Simon Contractors Inc,Blake Olmstead,308-631-3936,Blake Olmstead,,308-631-3936,Rod Havens,307-635-9005,307-631-3269
43568,Kurt Manufacturing Company,Jay Dietz,308-672-3818,Zacharie D Hays,308-787-2008,308-225-1881,Jay Dietz,308-787-2009,308-672-3818
43864,Nebraska Machinery Co,Bob Sorok,308-672-3289,Bob Sorok,308-220-3422,308-672-3289,Trevor Tobias,,402-490-7331
43947,Valley Airways Inc,,,Richard Bosn,308-635-0162,308-631-1611,Richard Bosn,308-635-0162,308-631-1611
44001,Matheson Tri-Gas Inc,Bob Klein,308-641-1947,Bob Klein,308-635-1333,308-641-1947,Mat Mehling,308-635-1333,308-641-7910
44041,WESTCO,David W Briggs,308-762-3112,Michael Gaudreault,308-635-2814,308-220-8112,Austin Uhrig,308-762-3112,308-249-4210
44061,Simplot Grower Solutions,Clint Lewis,308-631-0327,Art Steiner,308-632-7125,308-631-0885,Dale Batt,308-632-7125,308-672-2741
44104,Simplot Grower Solutions,Clint Lewis,308-631-0327,Dale Batt,308-632-7125,308-672-2741,Dylan Radzymski,,308-631-3184
44141,Western Sugar Cooperative,John Salway,720-456-8492,Vince Salzman,308-631-3381,308-672-8238,Jacqueline de Peyer,720-471-4629,
44320,Legacy Coop,Zachary T Marsh,308-630-5294,Wesley H Mathews,308-632-5305,308-631-0343,Skip Kelley,308-632-5301,308-630-5231
